commit	score	public0_tps	public1_tps	public2_tps	status	description
0d92f17	528.6	132.3	275.0	1792.8	keep	Optimize Qwen decode with CUDA graphs and grouped attention
a339a7f	541.6	136.8	276.9	1835.6	keep	Pack Qwen projections and fuse BF16 SwiGLU
1799644	624.2	157.8	303.8	2165.6	keep	Fuse decode head normalization rotary embedding and KV writes
fb686a3	644.6	160.7	309.2	2252.7	keep	Fuse BF16 residual additions into RMSNorm
a410d2c	789.4	192.9	399.6	2518.6	keep	Use dense split-KV Triton attention for graphed decode
af06883	843.3	207.0	417.3	2694.0	keep	Select BF16 skinny projection kernels during bounded warmup
f565305	873.0	228.8	435.7	2774.2	keep	Capture prefill and use native Flash grouped-query attention
8f6dbb5	885.9	227.1	473.1	2803.8	keep	Fuse prefill Q/K norm, RoPE and KV writes; evaluate only the final query in the last layer
dd09e1c	926.0	239.3	488.2	2926.8	keep	Stream tokens through pinned snapshots with bounded decode lookahead
a161a1b	925.5	240.5	485.2	2921.3	discard	Measure more projection layouts and dense attention interval layouts during warmup
1cbd367	932.0	241.7	494.5	2956.7	keep	Launch SwiGLU on a row grid and store fused prefill queries token-major
e20537c	934.6	244.2	497.7	2938.7	keep	Measure launch widths of the small decode kernels during warmup
344ca6d	945.5	247.9	501.4	3031.7	keep	Add lossless 12-bit storage of decode projection weights, selected only if bit-exact and faster
5c96d33	934.2	242.0	493.0	2957.1	discard	Read packed weight planes as 32-bit words; keep the plain layout when a packed recheck fails
072d3e1	930.2	240.9	495.9	2940.7	discard	Pack with per-row exponent windows; add word-load BF16 layouts; shorten the layout search
538acc6	933.1	242.3	491.4	2951.3	discard	Reproducibility check: restore candidate 14 projection selection exactly
dbe42ab	932.6	241.9	493.0	2948.1	discard	Refine projection layouts against the captured decode step itself
aa7c31d	0.0	0	0	0	crash	Refine attention layouts and launch widths against the captured decode step
baa5ae1	932.4	241.0	495.0	2945.9	discard	Remove lossless packing and word loads; keep a short in-situ refinement within the 15-minute run limit
e618984	948.1	251.0	501.2	2987.1	keep	Exact self-speculative decoding for a single sequence with paced release
12620d1	947.0	270.0	492.9	2945.5	discard	Speculate from a model-derived successor table; shared-KV block attention with per-row positions
24743f9	0.0	257.3	501.1	2943.5	crash	Speculate for every batch whose verify block fits 16 rows; release pace 0.75
1e46d6f	984.9	253.2	507.0	2990.0	keep	Record candidate 22 failure on the plain batch-16 path; rerun the identical engine
631c296	1002.6	254.2	496.1	2931.7	keep	Fuse speculation propose/settle bookkeeping into two Triton kernels
ebc2876	999.8	256.2	494.8	3037.0	discard	Trial: one speculative draft per row for batches 9-16
8adb604	1042.4	268.1	495.9	3136.8	keep	Draft from one-token suffix matches before falling back to the successor table
607e1f5	1014.5	254.2	495.2	3104.8	discard	Longer verify chains for batches 1-2 and a second draft for batches 5-8
80ab1ef	1051.3	296.1	532.7	3132.6	keep	Tree drafts: verify alternatives for the first draft and relocate the kept K/V slot
de99361	1061.4	285.0	515.5	3157.1	keep	Skinny GEMM up to 32 rows; 8-token tree blocks through batch 4
8a7b9f5	1065.5	290.9	502.3	3173.5	keep	Adaptive release pacing from the process's own unpaced speeds
d14ca21	1049.5	282.4	512.1	3069.1	discard	Full 9+7 tree blocks for batches 1-2
ff9307f	1051.7	292.9	519.5	3147.8	discard	Keep verify blocks within 16 rows where possible
f5adf3b	1062.5	306.8	518.1	3110.1	discard	Refine verify-block projection tiles against the captured verify graph
622d4fd	1065.4	286.2	523.9	3197.9	discard	Pace floor 0.70 from the lab's spread model; lower running median
f3e6c80	1054.6	281.3	513.1	3099.8	discard	Choose each row's chain depth per pass from its matched-suffix length
b0e2d76	1075.7	299.7	515.2	3147.5	keep	The warmup generation never sets the release pace
039a52e	1063.3	289.2	526.5	3101.9	discard	Verify block size from batch and prompt length
